MajorCollege,Major,CumulativeGPA,TotalLoansAccepted,TotalGrantsAccepted,TotalScholarshipsAccepted,GraduateCount,GPA_Score,Loan_Score,Graduate_Score,EmployabilityScore,NationalAvgDebt
"Col of Science, Engr & Tech",Environmental Toxicology,3.730189655172414,13270.666666666666,2500.0,1309.0888888888887,29,0.955688230974628,0.4019404830184298,0.04844290657439446,0.5173903092676985,
"Col of Science, Engr & Tech",Industrial Technology,2.6790259259259264,6118.75,4288.092380952381,1414.2857142857142,27,0.4111357384714216,0.8235265618526554,0.04498269896193772,0.42500707363294654,
"Col of Science, Engr & Tech",Maritime Trans Mgmt Security,3.0383325,4528.074074074074,4524.076923076923,2084.2196,40,0.597273525612424,0.9172925909554058,0.06747404844290658,0.5343394020644634,
"Col of Science, Engr & Tech",Mathematics,3.035855,8344.666666666666,2503.230769230769,4936.363636363636,20,0.595990063519279,0.6923148149812923,0.032871972318339104,0.45595206159760104,
"Col of Science, Engr & Tech",Physics,2.802609090909091,6764.5,5829.5,4085.3333333333335,11,0.47515765879705785,0.7854613517704349,0.01730103806228374,0.43089178046863874,
"Col of Science, Engr & Tech","Transportation,Pln & Mgmt",3.8157258064516126,14457.75,5145.834000000001,2006.1642105263156,31,1.0,0.33196514199104143,0.051903114186851215,0.5151604768533679,
College Of Education,Athletic Training,2.876158510638298,8699.22972972973,4164.20475,1905.497894736842,94,0.5132597343551772,0.6714142846167686,0.16089965397923875,0.4549980753208731,
College Of Education,Counselor Education,3.5164410447761196,14404.355371900827,889.6666666666666,483.9525,134,0.8449563484696669,0.3351126104166815,0.2301038062283737,0.5075474643813833,
College Of Education,"Counselor Education, Doctoral",3.667442857142857,10986.75,,1077.712,21,0.9231824240171487,0.5365711724910609,0.03460207612456748,0.540624944191548,
College Of Education,Curriculum & Instruction,3.585841176470588,13605.0,,2479.6,17,0.8809088967195617,0.38223244032261494,0.02768166089965398,0.4753377890545054,
College Of Education,"Curriculum & Instruction, Doct",3.6578066666666667,11057.4,0.0,6700.25,15,0.9181904219188584,0.5324065467189991,0.024221453287197235,0.5342645687694023,
College Of Education,Educational Administration,3.517255,12629.760563380281,628.6666666666666,1418.921904761905,100,0.8453780157452946,0.43972015853461033,0.171280276816609,0.5214513369034836,
College Of Education,Health,2.6341879032258064,6611.0,4060.0343689320384,2605.83859375,124,0.38790752355026137,0.7945097602065492,0.21280276816608998,0.4573567679318963,
College Of Education,Health and Kinesiology (GR),3.4495529411764707,8812.888888888889,1986.75,7528.2225,34,0.8103051494979219,0.6647143856292937,0.05709342560553633,0.5406644031696177,
College Of Education,Interdisciplinary Studies,2.939158474576271,6638.031578947369,4142.9509,1369.5098076923075,118,0.5458966932185008,0.7929163219851234,0.20242214532871974,0.5169602174815533,
College Of Education,Kinesiology (UG),2.655098283261802,7147.862857142857,4184.9284375,2054.3931623931626,233,0.3987400886882855,0.7628631517009603,0.4013840830449827,0.508770205899097,
College Of Education,Sport Management,2.5534326530612246,7880.557823129252,3752.748616352201,2278.596804123711,196,0.346072487260181,0.7196727718225902,0.3373702422145329,0.4555418991152093,
College Of Education,Sport Studies/Sport Leadership,3.3327,12438.473684210527,0.0,5686.462142857143,31,0.749769803192174,0.45099600095283565,0.051903114186851215,0.4507776558187757,
